Station Stationsnavn,Station Bane,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Aug,Sep,Okt,Nov,Dec,Total
Ukendt station,-,6.351,7.132,9.081,11.099,12.079,14.466,13.027,14.939,17.423,16.590,16.672,12.627,109.665
Carlsberg,Det centrale afsnit,43.798,47.549,62.142,66.794,78.304,98.297,71.261,87.442,110.464,109.511,108.384,84.324,737.418
Dybbølsbro,Det centrale afsnit,67.884,73.618,95.349,105.755,127.024,158.922,129.268,151.426,185.497,182.076,178.258,141.356,1.211.105
Hellerup,Det centrale afsnit,91.825,96.293,127.476,140.306,164.050,211.191,162.415,202.876,234.071,222.413,219.404,169.577,1.497.875
København H,Det centrale afsnit,230.076,247.357,321.479,360.145,437.068,547.953,436.690,523.502,643.878,630.985,615.435,479.013,4.180.215
Nordhavn,Det centrale afsnit,76.039,81.696,108.169,119.293,142.437,181.413,135.200,174.114,210.593,204.674,200.855,154.531,1.351.791
Nørreport,Det centrale afsnit,353.360,377.666,499.799,555.913,641.931,833.653,647.869,786.137,985.199,937.288,935.078,718.828,6.287.049
Svanemøllen,Det centrale afsnit,65.024,70.490,93.264,103.072,123.511,157.766,117.197,150.217,180.461,175.111,170.986,132.449,1.164.575
Valby,Det centrale afsnit,104.964,114.393,149.449,159.065,182.852,226.896,167.078,205.105,259.636,254.225,254.109,196.335,1.712.950
Vesterport,Det centrale afsnit,94.152,101.321,133.288,150.098,177.673,233.271,183.958,218.606,274.818,264.919,261.391,198.643,1.756.828
Østerport,Det centrale afsnit,91.775,98.685,131.184,145.196,168.506,220.447,165.739,206.281,256.377,248.916,244.499,189.512,1.643.905
Bagsværd,Farum-strækningen,25.427,28.111,36.275,39.908,47.347,56.778,41.003,54.750,66.289,65.125,62.846,49.120,420.548
Buddinge,Farum-strækningen,30.066,33.217,42.125,45.825,54.520,64.411,47.258,63.229,76.115,74.629,71.514,56.738,484.332
Dyssegård,Farum-strækningen,6.897,7.744,10.095,10.837,12.936,15.967,11.390,15.364,19.036,18.664,18.167,13.996,121.361
Emdrup,Farum-strækningen,24.378,26.223,34.655,37.109,44.159,53.214,38.920,50.785,62.475,61.684,59.270,47.653,400.964
